TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
USIM5;9.12;21.03;1.89;0.48;0.28;27.12;22.57;18.09;1.51;1.53;0.06;0.02;0.34;0.74;-0.58;3.51;25.44;14.66;19.98;0.58;0.36;0.81;31.89;;143164323.36;18.98;4.83;-0.19;11124819370.84
VALE3;69.91;22.16;3.22;1.8;0.76;53.7;43.7;41.78;3.08;3.34;0.26;0.15;1.35;16.33;-0.93;1.32;55.74;23.46;34.13;0.42;0.56;0.56;25.41;50.75;2149272677.32;38.91;21.69;0.23;334092148376.33
VAMO3;15.76;1.24;31.2;5.35;1.22;39.4;29.73;13.05;13.7;17.65;3.95;1.54;4.07;6.78;-1.87;2.05;17.13;3.9;9.05;0.23;0.77;0.3;571.04;549.36;32492924.54;2.95;0.51;0.4;15397330407.2
VBBR3;18.55;3.14;9.28;1.72;0.59;5.05;1.91;1.64;7.95;11.47;3.53;0.76;0.15;2.13;-1.21;2.15;18.52;6.32;7.9;0.34;0.66;3.86;8.47;;167454682.86;10.8;2;-0.21;21.610.750.000,00
VIIA3;2.91;;-10.13;0.83;0.13;30.03;-0.96;-1.49;-15.82;-43.54;-27.72;1.45;0.15;-3.31;-0.26;0.92;-8.15;-1.32;-9.89;0.16;0.84;0.89;9.29;;156465759.04;3.53;-0.29;0.07;4651419240.96
VITT3;10.33;2.2;13.34;2.98;1.68;36.15;17.65;13.58;10.26;11.94;1.68;0.49;1.81;5.02;-5.62;1.91;22.36;12.6;15.83;0.56;0.43;0.93;;;1249275.68;3.46;0.77;0.55;1477697275.31
VIVA3;24.39;1.35;16.92;4.14;2.25;67.9;20.81;21.47;17.45;16.92;-0.53;-0.13;3.63;6.34;-5.87;2.35;24.45;13.28;17.05;0.54;0.46;0.62;;;22240693.43;5.9;1.44;0.11;5760863585.91
VIVR3;0.66;;-1.43;-0.45;0.29;16.9;-112;-114.41;-1.46;-4.5;-3.04;;1.63;-0.48;-0.59;0.46;-31.55;-20.28;-216.3;-0.64;1.64;0.18;;;2271251.21;-1.47;-0.46;0.02;94315790.58
VIVT3;46.35;7.72;14.21;1.14;0.65;43.12;14.59;11.97;11.66;13.64;1.99;0.19;1.7;-9.98;-0.76;0.7;8.04;4.56;7.24;0.57;0.43;0.38;0.71;6.02;88767123.86;40.57;3.26;1;77726088860.85
VLID3;11.08;2.62;15.27;0.76;0.31;27.13;11.6;2.71;3.56;6.67;3.11;0.66;0.41;1.54;-0.58;1.72;4.97;2.01;9.81;0.4;0.58;0.74;4.98;-7.47;2611046.68;14.61;0.73;-0.09;913827897.36
VULC3;13.39;2.61;9;2.18;1.51;35.86;17.39;15.96;8.26;8.75;0.49;0.13;1.44;3.51;-4.44;2.87;24.18;16.75;21.13;0.69;0.31;1.05;10.48;59.24;4647733.5;6.15;1.49;0.11;3290676107.16
VVEO3;17.85;2.27;17.89;2.29;0.72;16.45;5.34;4.1;13.75;17.06;3.32;0.55;0.73;2.77;-1.71;1.82;12.79;4.03;6.8;0.32;0.68;0.98;;;2411558.18;7.8;1;-1.18;5.107.301.976,00
WEGE3;30.8;1.53;36.48;9.64;4.99;27.88;15.77;13.25;30.64;30.59;-0.05;-0.02;4.83;18.06;-15.55;1.69;26.42;13.69;21.22;0.52;0.47;1.03;20.26;25.96;210708554.75;3.2;0.84;4.64;129277394338.4
WEST3;2.68;;-9.08;0.79;0.63;43.98;-16.11;-10.12;-5.7;-2.09;3.61;-0.5;0.92;1.11;-2.01;5.97;-8.71;-6.98;-14.46;0.8;0.2;0.69;;;599011.46;3.39;-0.3;-0.01;295548582.96
WIZS3;8.46;6.95;8.36;3.86;0.71;59.67;40.34;20.07;4.16;4.33;0.18;0.16;1.68;-26.9;-0.83;0.84;46.25;8.5;21.78;0.18;0.55;0.42;15.13;2.22;5984377.96;2.19;1.01;-0.38;1352815605.72
YDUQ3;16.11;0.78;26.07;1.52;0.5;55.33;13.49;4.24;8.2;14.49;6.3;1.17;1.11;3.79;-0.69;1.84;5.82;1.9;6.22;0.33;0.67;0.45;6.64;-12.3;53303285.75;10.61;0.62;-0.03;4979421389.61
