TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BOAS3;6.55;1.21;16.5;1.72;1.4;51.84;5.18;22.01;70.11;46.38;-23.73;-0.58;3.63;2.84;-3.29;6.96;10.42;8.48;-1.28;0.81;0.19;0.39;6.65;;6990254.68;3.81;0.4;0.05;3483496305.35
BPAC11;25.87;2.04;15.51;2.4;0.26;19.56;23.33;17.48;11.62;11.62;;;2.71;7.98;-3.43;1.04;15.47;1.67;;0.11;0.89;0.1;5.25;6.21;210400026.04;10.78;1.67;-0.79;99221107512.45
BPAN4;7.41;3.29;13.22;1.35;0.18;55.59;8.86;6.49;9.68;9.68;;;0.86;;-0.18;;10.23;1.36;;0.13;0.87;0.21;1.4;;24337572.46;5.48;0.56;-1.2;9679925418.15
BRAP3;20.69;33.48;1.11;1.06;1.05;;;;1.12;1.08;-0.13;-0.12;;9.51;-1.19;17.83;95.29;94.65;94.33;0.99;0.01;0;;63.27;1846451.79;19.5;18.58;0.01;8684199358.82
BRAP4;22.85;33.35;1.23;1.17;1.16;;;;1.24;1.08;-0.13;-0.12;;10.51;-1.32;17.83;95.29;94.65;94.33;0.99;0.01;0;;63.27;64.861.227,00;19.5;18.58;0.01;8684199358.82
BRBI11;15.2;5.33;10.8;2.1;0.38;36.49;17.71;22.54;13.75;6.65;-7.1;-1.09;2.43;2.02;-44.48;1.24;19.47;3.56;0.77;0.18;0.82;0.16;;;1782374.96;7.23;1.41;0.51;1595934700.8
BRFS3;17.16;;-15.78;1.5;0.33;18.24;3.73;-2.36;10.01;17.11;7.09;1.06;0.37;2.71;-0.63;1.35;-9.48;-2.12;4.38;0.22;0.77;0.9;7.46;;129889374.61;11.48;-1.09;0.09;18575240901.36
BRIT3;2.99;0.04;70.78;0.99;0.47;41.09;9.09;2.43;18.91;26.66;7.75;0.41;1.72;7.03;-0.62;1.38;1.41;0.67;2.28;0.47;0.53;0.27;;;1145608.96;3.01;0.04;-1.33;1342793798.84
BRKM3;37.85;24.4;1.96;4.86;0.33;27.31;21.04;14.02;1.31;2.29;0.99;3.69;0.28;2.14;-0.57;1.56;247.82;16.61;45.75;0.07;0.93;1.18;17.25;;292494.57;7.78;19.29;0;29877152820.38
BRKM5;36.99;24.97;1.92;4.75;0.32;27.31;21.04;14.02;1.28;2.29;0.99;3.69;0.27;2.09;-0.55;1.56;247.82;16.61;45.75;0.07;0.93;1.18;17.25;;62158891.25;7.78;19.29;0;29877152820.38
BRML3;8.85;0.61;36.19;0.68;0.38;90.34;51.9;16.52;11.52;15.46;3.95;0.23;5.98;8.44;-0.42;1.85;1.87;1.04;3.66;0.56;0.42;0.06;-2.54;3.41;66523802.89;13.09;0.24;-0.23;7330223873.4
BRPR3;8.63;1.22;-337.57;0.58;0.36;100;58.52;-3.71;21.38;32.2;10.82;0.29;12.51;17.44;-0.4;1.31;-0.17;-0.11;1.55;0.63;0.37;0.03;-6.86;;15512926.5;14.92;-0.03;3.19;4091998185.11
BRSR6;10.84;10.84;5.62;0.49;0.04;49.55;8.92;8.79;5.54;5.81;;;0.49;0.61;-0.05;5.13;8.77;0.75;;0.09;0.91;0.09;-5.99;1.6;16726724.86;21.97;1.93;1.07;4648601413.73
CAML3;9.39;3.84;31.02;1.21;0.39;21;7.18;1.19;5.14;8.62;3.49;0.82;0.37;1.23;-1.07;2.01;3.89;1.26;9.39;0.32;0.68;1.06;12.75;-11.57;18260958.75;7.78;0.3;-0.41;3.380.400.000,00
CARD3;14.27;5.72;9.05;1.7;1.03;34.75;18.45;12.62;6.19;6.41;0.22;0.06;1.14;33.45;-1.45;1.12;18.79;11.41;15.68;0.61;0.39;0.9;1.99;13.55;1773879.61;8.39;1.58;0.41;596.486.000,00
CASH3;1.29;;-21.34;1.55;1.2;-30.21;-30.21;-16.1;-11.37;-5.86;5.51;-0.75;3.44;1.87;-4.37;8.57;-7.25;-5.63;-16.41;0.78;0.21;0.35;;;40645026.68;0.83;-0.06;0.06;1.036.734.300,00
CBAV3;12.11;2.38;5.92;1.32;0.59;26.08;34.42;36.54;6.29;7.54;1.25;0.26;2.16;2.62;-0.93;2.57;22.36;9.95;12;0.45;0.54;0.27;;;39930676.64;9.15;2.04;-0.02;7215541662.63
CCRO3;14.19;1.15;8.29;2.5;0.61;55.61;49.39;20.59;3.45;5.97;2.52;1.82;1.71;6.28;-0.76;1.97;30.14;7.33;14.53;0.24;0.75;0.36;4.14;15.08;93232686.07;5.68;1.71;0.02;28.663.800.000,00
CEAB3;3.03;;2.97;0.33;0.11;46.89;1.63;5.65;10.27;21.77;11.5;0.37;0.17;0.75;-0.2;1.52;11.14;3.81;-5.62;0.34;0.66;0.68;1.51;;11908728.68;9.17;1.02;-0.01;933982556.04
CESP6;25.25;;25.45;1.09;0.57;56.74;48.48;14.02;7.36;8.66;1.27;0.19;3.57;60.78;-0.62;1.13;4.28;2.26;9.55;0.53;0.47;0.16;6.56;-1.53;75751511.28;23.16;0.99;-0.31;8302192833.55
CGRA4;31.35;9.09;3.28;0.79;0.55;53.98;28.94;27.98;3.17;2.97;-0.19;-0.05;0.92;2.04;-1.03;2.33;23.93;16.66;18.15;0.7;0.3;0.6;9.46;23.58;292927.96;39.91;9.55;0.02;602.943.194,00
CIEL3;5.2;4.28;11.67;1.34;0.13;33.93;18.87;10.57;6.54;7.92;1.38;0.28;1.23;1.08;-1.03;1.17;11.45;1.15;8.48;0.1;0.87;0.11;-1.02;-21.29;117294895.96;3.89;0.45;0.25;14127438317.2
CLSA3;5.51;;-8.12;1.4;1.07;31.2;-34.55;-27.43;-6.45;-3.03;3.41;-0.74;2.23;1.7;-5.21;4.82;-17.25;-13.19;-20.22;0.76;0.24;0.48;;;4039816.79;3.93;-0.68;0.02;1035472590.6
CLSC4;55.98;10.6;5.07;0.74;0.18;12.89;7.31;4.77;3.31;5.14;1.98;0.45;0.24;3.83;-0.27;1.19;14.68;3.64;9.24;0.25;0.75;0.76;13.22;;416161.71;75.16;11.04;-0.17;2062503600.67
CMIG3;18.66;7.86;8.59;1.99;0.8;20.09;20.29;13.92;5.89;5.61;1.07;0.36;1.19;14.26;-1.07;1.3;23.15;9.37;17.89;0.4;0.6;0.67;12.38;70.27;11502379.75;9.39;2.17;0.2;31668918967.2
CMIG4;12.24;11.98;5.63;1.3;0.53;20.09;20.29;13.92;3.86;5.61;1.07;0.36;0.78;9.35;-0.7;1.3;23.15;9.37;17.89;0.4;0.6;0.67;12.38;70.27;77898311.04;9.39;2.17;0.13;31668918967.2
CMIN3;3.88;14.07;4.48;1.44;0.89;55.44;47.02;27.45;2.62;2.34;-0.28;-0.15;1.23;3.45;-1.49;2.73;32.21;19.74;31.76;0.61;0.39;0.72;;;28404167.93;2.69;0.87;-0.22;21283114691.44
COCE5;48.25;6.02;7.2;1.02;0.31;18.02;13.63;5.84;3.08;5.92;3.17;1.05;0.42;-9.71;-0.43;0.89;14.18;4.36;13.55;0.31;0.69;0.75;14.63;5.82;342906.54;47.25;6.7;0.35;3344063015.07
COGN3;2.63;;-12;0.39;0.17;60.12;3.92;-8.48;25.98;57.62;31.64;0.47;1.02;1.74;-0.23;1.69;-3.23;-1.45;0.53;0.45;0.52;0.17;-1.85;;64517335.25;6.78;-0.22;0.13;4935474332.3
CPFE3;33.93;16.04;7.97;2.41;0.59;24.7;19.99;12.2;4.86;7.15;2.29;1.13;0.97;11.26;-0.78;1.27;30.19;7.34;15.23;0.24;0.73;0.6;15.46;40.34;54733178.04;14.1;4.26;0.24;39095993149.2
CPLE11;34.89;16.46;5.71;0.93;0.39;19.93;19.24;13.7;4.06;6.03;1.97;0.45;0.78;7.4;-0.49;1.34;16.24;6.79;12.11;0.42;0.57;0.5;12.85;30.15;9.808.825,00;37.63;6.11;-1.15;19095672067.5
CPLE3;6.49;16.38;5.31;0.86;0.36;19.93;19.24;13.7;3.78;6.03;1.97;0.45;0.73;6.88;-0.45;1.34;16.24;6.79;12.11;0.42;0.57;0.5;12.85;30.15;4128092.04;7.53;1.22;-1.07;19095672067.5
CPLE6;7.15;16.36;5.85;0.95;0.4;19.93;19.24;13.7;4.16;6.03;1.97;0.45;0.8;7.58;-0.5;1.34;16.24;6.79;12.11;0.42;0.57;0.5;12.85;30.15;48172647.43;7.53;1.22;-1.18;19095672067.5
CRFB3;20.66;2.81;16.43;2.18;0.55;18.75;5.68;3.04;8.79;11.59;2.8;0.69;0.5;-15.34;-0.96;0.92;13.27;3.34;10.44;0.25;0.73;1.1;10.34;17.64;70284391.07;9.48;1.26;-1.1;43448950606.8
CSAN3;20.96;3.83;6.55;2.51;0.41;23.88;31.23;21.34;4.48;8.04;3.56;2;1.4;3.46;-0.55;1.89;38.31;6.24;11.39;0.16;0.68;0.29;26.99;42.06;91059866.18;8.35;3.2;0.02;39280526734.72
CSED3;3.95;3.32;21.51;1.03;0.31;47.86;17.09;3.74;4.71;4.89;0.18;0.04;0.81;2.26;-0.42;2.05;4.81;1.43;12.25;0.3;0.7;0.38;;;1407983.71;3.82;0.18;0;1.508.197.848,00
CSMG3;13.42;4.91;11.91;0.73;0.41;33.75;12.42;7.1;6.81;10.72;3.91;0.42;0.85;13.47;-0.49;1.21;6.1;3.43;6.3;0.56;0.44;0.48;7.89;-0.26;18661858.86;18.46;1.13;-0.21;5102996185.98
CSNA3;15.69;5.56;2.53;0.95;0.28;43.59;35.42;17.22;1.23;2.13;0.9;0.69;0.44;1.66;-0.48;1.65;37.59;10.95;21.67;0.29;0.67;0.64;22.81;;162729678.18;16.5;6.2;-0.12;20806414028.43
CURY3;9.28;7.4;8.48;4.18;0.93;37.18;20.66;15.99;6.56;5.88;-0.68;-0.43;1.36;3.56;-3.52;1.55;49.26;10.95;30.59;0.22;0.73;0.68;;;10.321.762,00;2.22;1.09;0.03;2708600816.64
CVCB3;7.06;;-4;3.98;0.41;100;-20.62;-44.26;-8.57;-9.52;-0.94;0.44;1.77;-2.41;-1.02;0.78;-99.7;-10.28;-22.18;0.1;0.9;0.23;-4.94;;93285044.32;1.77;-1.77;-0.01;1957366001.54
CXSE3;7.99;6.76;11.86;2.16;2.13;;;;10.29;9.88;-0.42;-0.09;;17.28;-2.46;13.42;18.18;18;17.96;0.99;0.01;0;;13.16;12350259.04;3.71;0.67;0.9;23.970.000.000,00
CYRE3;15.17;3.72;6.86;0.95;0.43;33.93;20.63;17.61;5.86;7.31;1.46;0.24;1.21;1.12;-0.97;3.13;13.9;6.22;8.81;0.45;0.51;0.35;8.44;42.32;79550614.86;15.9;2.21;-0.13;6064098260.83
DASA3;23.7;1.27;-75.02;1.75;0.54;30.09;2.9;-1.58;40.94;60.6;19.66;0.84;1.19;39.75;-0.75;1.05;-2.34;-0.72;1.33;0.31;0.69;0.46;27.93;;4166065.82;13.51;-0.32;-0.69;13285704856.8
DESK3;10.33;0.14;32.13;1.01;0.38;56.59;21.25;6.26;9.46;13.22;3.76;0.4;2.01;25.62;-0.51;1.06;3.15;1.17;5.12;0.37;0.62;0.19;;;2795610.46;10.22;0.32;-4.18;900568501.29
DEXP3;8.63;4.46;3.87;1.63;0.58;20.1;14.15;10.26;2.81;3.42;0.63;0.36;0.4;1.51;-1.8;2.29;42.21;14.91;28.2;0.35;0.57;1.45;32.29;31.86;1518225.54;5.28;2.23;0.09;807642851.85
DIRR3;12.94;3.63;12.1;1.42;0.34;35.71;18.38;8.04;5.29;5.97;0.68;0.18;0.97;0.83;-0.7;4.64;11.76;2.79;11.9;0.24;0.73;0.35;5.52;;19572879.57;9.09;1.07;0.71;1.941.000.000,00
DMMO3;1.6;;4.29;-1.78;3.07;62.67;96.5;86.85;3.86;3.72;-0.14;;3.73;35.28;-6.03;1.22;-41.51;71.49;-46.13;-1.72;2.72;0.82;-1.34;;16062111.54;-0.9;0.37;0.02;815496110.4
DMVF3;4.69;;72.91;0.29;0.16;32.02;0.23;0.27;86.77;75.14;-11.63;-0.04;0.2;4.51;-0.22;1.16;0.39;0.23;-1.87;0.58;0.42;0.84;;;433144.96;16.42;0.06;-0.28;237327328.98
DXCO3;11.26;11.37;6.97;1.49;0.56;34.9;16.51;14.01;5.92;8.38;2.47;0.62;0.98;4.8;-0.9;1.44;21.41;7.98;12.75;0.37;0.63;0.57;15.88;120.37;31854465.36;7.54;1.62;-1.07;8568442828.26
ECOR3;6.5;;28.15;2.13;0.28;33.97;28.33;3.2;3.18;9.39;6.21;4.16;0.9;-6.12;-0.32;0.69;7.57;1.01;9.77;0.13;0.85;0.32;10.46;;23599942.79;3.05;0.23;-0.19;4.526.172.456,00
EGIE3;42.8;5.84;19.9;4.41;0.88;52.09;43.85;14.37;6.52;9.56;3.04;2.06;2.86;15.68;-1.1;1.4;22.15;4.43;17.69;0.2;0.8;0.31;14.25;2.55;79277513.93;9.71;2.15;-0.77;34.921.707.272,00
ELET3;47.72;1.55;16.26;1.39;0.58;67.04;33.06;17.5;8.61;10.52;1.86;0.3;2.85;6.37;-0.74;1.71;8.57;3.57;6.43;0.42;0.58;0.2;-9.01;14.54;449435064.46;34.25;2.93;-1.4;110433584740.1
ELET6;49.93;3.08;17.01;1.46;0.61;67.04;33.06;17.5;9.01;10.52;1.86;0.3;2.98;6.67;-0.78;1.71;8.57;3.57;6.43;0.42;0.58;0.2;-9.01;14.54;138806995.07;34.25;2.93;-1.47;110433584740.1
ELMD3;12.46;;-1073.35;2.29;1.14;34.8;6.2;-0.35;60.27;61.77;1.49;0.06;3.74;6.1;-1.9;1.87;-0.21;-0.11;1.92;0.5;0.5;0.3;;;2163448.54;5.43;-0.01;10.93;1744197562.38
EMBR3;14.23;;-494.71;0.73;0.21;18.73;3.05;-0.1;16.93;28.44;11.51;0.5;0.52;0.74;-0.46;2.03;-0.15;-0.04;1.92;0.28;0.7;0.4;1.13;;72729378.21;19.39;-0.03;5.1;10536817576.12
ENAT3;18.16;9.41;3.54;1.21;0.79;38.07;100.8;60.44;2.12;1.33;-0.79;-0.45;2.14;2.61;-1.49;2.79;34.18;22.28;35.67;0.65;0.35;0.37;30.52;54.87;21434873.79;14.99;5.12;0;4827053394.8
ENBR3;22.89;9.58;5.98;1.18;0.37;24.72;22.66;11.65;3.08;5.56;2.49;0.96;0.7;3.46;-0.51;1.66;19.77;6.25;14.22;0.32;0.65;0.54;15.05;27.24;64011135.82;19.36;3.83;0.29;13302872984.52
ENEV3;15.58;;21.37;2.63;1.15;39.33;33.4;23.42;14.99;20.14;5.16;0.9;5;23.67;-1.35;1.47;12.3;5.37;7.37;0.44;0.56;0.23;18.85;;101061587.86;5.93;0.73;1.78;24681320442.22
ENGI11;45.16;6.31;6.54;1.84;0.31;23.61;19.39;8.99;3.04;6.52;3.48;2.11;0.59;8.07;-0.41;1.17;28.09;4.69;13.33;0.17;0.81;0.52;17.81;74.52;72106279.68;24.56;6.9;0.14;16389853227.68
ENJU3;1.5;;-2.54;0.75;0.66;27.09;-124.55;-105.1;-2.15;0.46;2.61;-0.91;2.67;0.86;-5.15;8.71;-29.44;-26;-34.89;0.88;0.12;0.25;;;2502769.89;2;-0.59;-0.03;300.364.776,00
EQTL3;25.37;2.52;7.3;1.78;0.41;29.55;20.94;15.11;5.27;9.54;4.27;1.44;1.1;3.64;-0.56;1.7;24.38;5.57;10.86;0.23;0.74;0.37;24.97;40.66;152741114.25;14.24;3.47;0.2;28641070421.45
ESPA3;2.85;2.87;6.13;0.96;0.32;37.6;27.76;15.18;3.35;7.14;3.78;1.09;0.93;3.62;-0.52;1.3;15.7;5.18;11.27;0.33;0.67;0.34;;;11615029.07;2.96;0.46;0.7;696071363.1
ETER3;12.6;5.04;3.33;1.24;0.73;38.6;26.38;20.93;2.64;2.26;-0.39;-0.18;0.7;1.39;-2.58;3.79;37.27;21.98;34.78;0.59;0.41;1.05;6.3;;10705386.25;10.16;3.79;-0.21;778.384.845,00
EUCA4;9.25;3.06;1.67;0.44;0.25;35.44;22.15;20.39;1.54;2.5;0.75;0.21;0.34;1.9;-0.38;1.62;26.15;14.9;18.8;0.57;0.43;0.73;16.44;72.53;232765.61;21.19;5.54;0.01;972.381.608,00
EVEN3;6.53;1.13;8.51;0.75;0.23;27.14;9.35;7.92;7.21;4.6;-2.61;-0.27;0.67;0.66;-0.85;1.9;8.84;2.69;5.09;0.3;0.57;0.34;5.48;144.33;6176668.96;8.68;0.77;0.05;1.384.360.000,00
EZTC3;18.84;3.04;9.01;0.95;0.82;44.94;33.34;43.98;11.89;9.63;-2.26;-0.18;3.97;2.24;-1.46;6.17;10.53;9.11;7.11;0.87;0.12;0.21;10.85;14.94;32528970.21;19.85;2.09;0.59;4163434700.52
FESA4;49.37;6.52;5.22;1.66;1.22;47.02;38.14;32.04;4.38;3.98;-0.38;-0.14;1.67;3.84;-2.15;3.72;31.82;23.33;29.72;0.73;0.27;0.73;16.87;64.38;7872299.79;29.75;9.47;0.01;4.330.329.600,00
FHER3;19.77;;1.33;1.64;0.4;20.59;17.21;16.79;1.29;1.7;0.4;0.51;0.22;1.17;-1.29;2;124.03;30.38;74.68;0.24;0.76;1.81;-3.75;79.42;6125360.86;12.02;14.91;0;1064758504.68
FIQE3;4.72;3.55;18.04;1.76;1.05;48.43;26.59;18.15;12.31;9.82;-2.49;-0.36;3.27;3.57;-2;2.65;9.74;5.85;8.19;0.6;0.4;0.32;;;2976571.54;2.69;0.26;0.25;1708874154.48
FLRY3;16.41;4.9;15.05;2.87;0.78;28.4;17.5;8.16;7.02;10.89;3.88;1.59;1.23;9.6;-1.07;1.41;19.08;5.15;11.14;0.27;0.73;0.63;13.06;8.67;32038638.46;5.72;1.09;-0.63;5217460974.36
FRAS3;13.4;2.12;20.21;3.27;1.17;28.5;9.69;6.76;14.11;16.49;2.39;0.55;1.37;4.6;-2.46;1.95;16.19;5.81;12.08;0.36;0.64;0.86;26.01;22.73;1368135.36;4.1;0.66;-0.75;3618218996.2
G2DI33;3.14;;0.64;0.32;0.29;1263.24;1130.11;1118.69;0.63;0.64;0.01;0.01;7.15;-29.76;-0.32;0.89;50.11;45.49;46.17;0.91;0.09;0.04;;;252244.96;9.81;4.91;;321341872.64
GETT11;4.55;9.29;15.23;2.43;0.15;39.25;18.54;16.99;13.95;;1.81;0.31;2.59;5.78;-4.01;1.03;15.97;0.98;9.36;0.06;0.94;0.06;;;3657303.18;1.87;0.3;0.19;
GFSA3;1.41;;6.96;0.26;0.1;27.33;25.79;8.11;2.19;6.96;4.77;0.57;0.56;0.28;-0.27;2.24;3.77;1.41;3.57;0.38;0.62;0.17;-2.22;;8830530.21;5.38;0.2;-0.02;475798475.07
GGBR3;20.85;15.88;2.2;0.76;0.46;26.33;26.35;18.95;1.58;2.02;0.21;0.1;0.42;1.77;-0.88;2.22;34.51;21.03;29.68;0.61;0.39;1.11;15.78;;1193632.96;27.52;9.5;0.02;41.080.786.956,00
GGBR4;25.41;13.03;2.68;0.92;0.56;26.33;26.35;18.95;1.92;2.02;0.21;0.1;0.51;2.16;-1.07;2.22;34.51;21.03;29.68;0.61;0.39;1.11;15.78;;305492210.21;27.52;9.5;0.03;41.080.786.956,00
GGPS3;14.31;1.31;23;4.2;1.42;16.33;9.26;5.78;14.37;14.93;0.56;0.16;1.33;4.78;-3.02;2.26;18.24;6.16;10.98;0.34;0.66;1.07;;;13659338.93;3.41;0.62;3.22;9583533428.85
GMAT3;4.93;;13.61;1.65;1.04;22.95;5.64;4.68;11.29;12.82;1.53;0.22;0.64;2.39;-2.7;3.44;12.12;7.65;10.76;0.63;0.36;1.63;;;27364559.75;2.99;0.36;3.95;10892076169.47
GNDI3;66.95;2.41;-3584.81;5.84;2.38;18.55;3.28;-0.1;104.45;109.34;4.9;0.27;3.42;79.65;-3.01;1.17;-0.16;-0.07;2.22;0.41;0.59;0.69;29.03;;614805285.2;11.47;-0.02;35.34;41526443086.05
GOAU3;10.12;23.91;2;0.68;0.14;26.33;26.28;6.39;0.49;0.68;0.18;0.25;0.13;0.53;-0.27;2.26;33.85;7.03;29.17;0.21;0.38;1.1;15.78;;2103518.04;14.95;5.06;0.02;11349524585.92
GOAU4;10.6;22.83;2.09;0.71;0.15;26.33;26.28;6.39;0.51;0.68;0.18;0.25;0.13;0.55;-0.28;2.26;33.85;7.03;29.17;0.21;0.38;1.1;15.78;;76904997.57;14.95;5.06;0.02;11349524585.92
GOLL4;10.56;;-6.06;-1.68;2.05;2.25;-23.16;-49.38;-12.92;-5.62;-3.93;;2.99;-3.55;-2.55;0.25;-27.67;-33.85;30.92;-1.22;2.22;0.69;-5.51;;105470950.61;-6.3;-1.74;-0.11;4419228116.16
GRND3;7.63;5.65;10.93;1.67;1.53;41.66;13.61;25.23;20.25;17.11;-3.15;-0.26;2.76;2.89;-3.83;8.67;15.28;14.03;6.48;0.92;0.08;0.56;2.75;-0.15;7647166.32;4.57;0.7;1.33;6.883.480.800,00
GUAR3;8.63;6.49;9.4;0.83;0.3;56.89;5.75;5.59;9.14;14.17;5.03;0.46;0.53;1.6;-0.77;1.46;8.87;3.24;2.29;0.37;0.63;0.58;4.05;7.61;9529621.75;10.34;0.92;0.12;4.308.096.000,00
HAPV3;6.84;0.25;294.93;0.99;0.67;27.3;2.1;1.34;187.95;212.74;24.79;0.13;3.94;108;-0.75;1.06;0.34;0.23;0.27;0.68;0.32;0.17;26.62;-18.37;293887040.61;6.88;0.02;-3.76;48853867681.44
HBOR3;3.15;5.74;4.99;0.31;0.09;27.54;14.45;9.2;3.18;10.77;7.59;0.75;0.46;0.24;-0.23;2.98;6.29;1.89;3.5;0.3;0.57;0.21;1;;2718790.68;10.03;0.63;0.07;421630876.8
HBRE3;5.15;;3.32;0.28;0.14;82.54;305.26;155.43;1.69;3.82;2.13;0.35;5.16;1.85;-0.16;2.23;8.47;4.23;8.1;0.5;0.38;0.03;;;281683.07;18.3;1.55;-0.01;531423252.15
HBSA3;2.73;;-16.89;1.56;0.35;31.18;19.1;-8.95;7.92;22.01;14.09;2.78;1.51;4.05;-0.43;1.92;-9.24;-2.08;3.41;0.23;0.77;0.23;23.22;;8617032.89;1.75;-0.16;0.7;2075844615.39
HGTX3;37.5;;101.99;3.57;2.48;40.58;-0.59;4.1;-707.65;-713.65;-5.99;0.03;4.18;7.5;-5.59;2.47;3.51;2.43;-7.32;0.69;0.31;0.59;-7.54;-26.63;109503605.67;10.49;0.37;-1.23;6095022637.5
HYPE3;43.05;2.87;20.09;2.67;1.3;63.32;32.94;20.42;12.45;15.44;2.99;0.64;4.1;9.77;-1.88;1.77;13.3;6.49;11.78;0.49;0.51;0.32;12.96;2.88;112839777.46;16.12;2.14;-3.65;27268766430.15
IFCM3;7.98;;-21.94;1.82;0.77;46.49;-10.89;-18.84;-37.95;-42.15;-4.21;0.2;4.13;-32.45;-1.14;0.93;-8.28;-3.49;-3.64;0.42;0.58;0.19;;;3856135.68;4.39;-0.36;0.01;2249869644.96
IGTA3;33;;-60.74;1.77;0.87;59.42;48.46;-9.61;12.05;15.65;3.6;0.53;5.84;7.25;-1.17;1.86;-2.92;-1.42;6.15;0.49;0.51;0.15;5.1;;70275318.31;18.61;-0.54;0.5;5.828.182.074,00
IGTI11;21.55;1.58;-72.21;2.49;1.17;59.45;45.1;-11.19;17.92;16.52;3.89;0.54;8.08;9.47;-1.61;1.8;-3.45;-1.62;5.16;0.47;0.53;0.14;5.11;;49888227.21;8.65;-0.3;0.51;5691549596.5
IGTI3;2.78;1.75;-27.95;0.96;0.45;59.45;45.1;-11.19;6.93;16.52;3.89;0.54;3.13;3.67;-0.62;1.8;-3.45;-1.62;5.16;0.47;0.53;0.14;5.11;;577896.46;2.88;-0.1;0.2;5691549596.5
INEP3;0.79;;0.11;-0.11;0.09;33.66;5523.07;4913.34;0.1;0.72;0.62;;5.52;-0.15;-0.1;0.1;-94.97;83.37;-313.35;-0.88;1.88;0.02;-18.75;;1829948.39;-7.4;7.03;0;140276997.8
INEP4;0.79;;0.11;-0.11;0.09;33.66;5523.07;4913.34;0.1;0.72;0.62;;5.52;-0.15;-0.1;0.1;-94.97;83.37;-313.35;-0.88;1.88;0.02;-18.75;;536675.89;-7.4;7.03;0;140276997.8
INTB3;28.43;1.28;24.14;4.54;2.33;28.64;10.47;10.88;25.06;24.76;-0.3;-0.06;2.63;6.28;-7.65;2.14;18.8;9.65;13.96;0.51;0.48;0.89;;;27263726.36;6.27;1.18;-1.27;9313983857.3
IRBR3;2.44;;-4.74;0.84;0.15;-22.15;-27.94;-8.32;-1.41;-1.41;;;0.39;-1.14;-0.38;0.83;-17.68;-3.12;;0.18;0.82;0.38;13.98;;33689711.25;2.91;-0.52;0.08;3093652410.08
ITSA3;9.53;5.55;6.14;1.28;0.98;35.29;172.39;160.69;5.72;5.98;0.33;0.07;9.86;23.96;-1.1;1.6;20.92;15.96;18.51;0.76;0.2;0.1;11.75;10.8;1125840.39;7.42;1.55;0.09;83119354918.57
ITSA4;9.35;5.66;6.02;1.26;0.96;35.29;172.39;160.69;5.61;5.98;0.33;0.07;9.68;23.51;-1.08;1.6;20.92;15.96;18.51;0.76;0.2;0.1;11.75;10.8;154751159.75;7.42;1.55;0.09;83119354918.57
ITUB3;22.46;2.62;8.22;1.4;0.1;59.36;17.62;12.1;5.65;6.12;;;1;;-0.1;;17.03;1.24;;0.07;0.92;0.1;2.26;4.37;9562863.86;16.04;2.73;-2.23;238663549324.17
ITUB4;26.27;2.24;9.62;1.64;0.12;59.36;17.62;12.1;6.6;6.12;;;1.16;;-0.12;;17.03;1.24;;0.07;0.92;0.1;2.26;4.37;752873707.29;16.04;2.73;-2.61;238663549324.17
JALL3;7.8;4.27;;1.73;0.61;0;0;0;;;;0.67;1.59;2.09;-1.16;2.58;0;0;;0.35;0.65;0.38;;;5314163.75;4.51;0;;2298637309.8
JBSS3;30.53;9.83;2.87;1.57;0.36;19.5;9.57;6.44;1.93;3.79;1.86;1.51;0.18;3.1;-0.59;1.41;54.61;12.46;21.44;0.23;0.75;1.94;15.53;151.68;199664438.39;19.47;10.63;0.03;67719092776.1
JHSF3;6.42;5.36;4.46;0.95;0.51;67.38;53.79;46.94;3.89;5.13;1.24;0.3;2.09;3.64;-0.66;2.57;21.27;11.41;16.42;0.54;0.45;0.24;39.13;;16014136.89;6.77;1.44;0.23;4361289233.22
JSLG3;6.47;5.8;9.26;1.37;0.26;15.98;11.8;3.82;3;8.52;5.52;2.53;0.35;1.73;-0.38;1.94;14.81;2.81;11.06;0.19;0.81;0.74;-8.01;;2883377.75;4.72;0.7;2.69;1853209074.66
KEPL3;21.48;3.92;6.91;3.48;1.55;34.09;25.3;18.08;4.94;4.66;-0.28;-0.2;1.25;6.68;-5.2;1.49;50.4;22.43;39.32;0.45;0.55;1.24;20.87;;14647629.14;6.17;3.11;0.02;1930194196.2
KLBN11;19.71;7.03;5.61;2.78;0.5;48.77;36.05;21.44;3.34;6.43;3.09;2.57;1.2;2.81;-0.72;2.45;49.48;8.91;13.75;0.18;0.78;0.42;18.37;9.71;127387910.86;7.1;3.51;0.07;22145733244.15
KLBN3;4.05;6.85;5.77;2.85;0.51;48.77;36.05;21.44;3.43;6.43;3.09;2.57;1.24;2.89;-0.74;2.45;49.48;8.91;13.75;0.18;0.78;0.42;18.37;9.71;1251869.46;1.42;0.7;0.07;22145733244.15
